@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85168844897'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85168844897?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168844897&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168844897&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221723006203'}]",https://api.elsevier.com/content/abstract/scopus_id/85168844897,SCOPUS_ID:85168844897,2-s2.0-85168844897,The impacts of innovation and trade openness on bank market power: The proposal of a minimum distance cost function approach and a causal structure analysis,Fukuyama H.,European Journal of Operational Research,03772217,312,3,1178-1194,2024-02-01,1 February 2024,10.1016/j.ejor.2023.08.016,S0377221723006203,0,"[{'@_fa': 'true', 'affilname': 'Fukuoka University', 'affiliation-city': 'Fukuoka', 'affiliation-country': 'Japan'}]",Journal,ar,Article,22489,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}"
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85149601777'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85149601777?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149601777&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85149601777&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221722007561'}]",https://api.elsevier.com/content/abstract/scopus_id/85149601777,SCOPUS_ID:85149601777,2-s2.0-85149601777,Dynamic network data envelopment analysis with a sequential structure and behavioural-causal analysis: Application to the Chinese banking industry,Fukuyama H.,European Journal of Operational Research,03772217,307,3,1360-1373,2023-06-16,16 June 2023,10.1016/j.ejor.2022.09.028,S0377221722007561,13,"[{'@_fa': 'true', 'affilname': 'Fukuoka University', 'affiliation-city': 'Fukuoka', 'affiliation-country': 'Japan'}]",Journal,ar,Article,22489,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}"
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85106612917'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85106612917?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106612917&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106612917&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221721003362'}]",https://api.elsevier.com/content/abstract/scopus_id/85106612917,SCOPUS_ID:85106612917,2-s2.0-85106612917,"Implementing strategic disposability for performance evaluation: Innovation, stability, profitability and corporate social responsibility in Chinese banking",Fukuyama H.,European Journal of Operational Research,03772217,296,2,652-668,2022-01-16,16 January 2022,10.1016/j.ejor.2021.04.022,S0377221721003362,23,"[{'@_fa': 'true', 'affilname': 'Fukuoka University', 'affiliation-city': 'Fukuoka', 'affiliation-country': 'Japan'}]",Journal,ar,Article,22489,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}"
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85102796966'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85102796966?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102796966&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85102796966&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221721001636'}]",https://api.elsevier.com/content/abstract/scopus_id/85102796966,SCOPUS_ID:85102796966,2-s2.0-85102796966,Regulation adaptive strategy and bank efficiency: A network slacks-based measure with shared resources,Zhao L.,European Journal of Operational Research,03772217,295,1,348-362,2021-11-16,16 November 2021,10.1016/j.ejor.2021.02.050,S0377221721001636,27,"[{'@_fa': 'true', 'affilname': 'Nanjing Audit University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",Journal,ar,Article,22489,0,False,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85063340828'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85063340828?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063340828&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063340828&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221719302280'}]",https://api.elsevier.com/content/abstract/scopus_id/85063340828,SCOPUS_ID:85063340828,2-s2.0-85063340828,Decomposing banking performance into economic and credit risk efficiencies,Boussemart J.P.,European Journal of Operational Research,03772217,277,2,719-726,2019-09-01,1 September 2019,10.1016/j.ejor.2019.03.006,S0377221719302280,36,"[{'@_fa': 'true', 'affilname': 'Lille Économie Management ( LEM )', 'affiliation-city': 'Lille', 'affiliation-country': 'France'}]",Journal,ar,Article,22489,0,False,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85029533456'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85029533456?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85029533456&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85029533456&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221717307178'}]",https://api.elsevier.com/content/abstract/scopus_id/85029533456,SCOPUS_ID:85029533456,2-s2.0-85029533456,"Data envelopment analysis, truncated regression and double-bootstrap for panel data with application to Chinese banking",Du K.,European Journal of Operational Research,03772217,265,2,748-764,2018-03-01,1 March 2018,10.1016/j.ejor.2017.08.005,S0377221717307178,55,"[{'@_fa': 'true', 'affilname': 'The University of Queensland', 'affiliation-city': 'Brisbane', 'affiliation-country': 'Australia'}]",Journal,ar,Article,22489,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}"
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84961313168'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84961313168?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84961313168&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961313168&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221715011777'}]",https://api.elsevier.com/content/abstract/scopus_id/84961313168,SCOPUS_ID:84961313168,2-s2.0-84961313168,Evaluating the performance of Chinese commercial banks: A comparative analysis of different types of banks,Dong Y.,European Journal of Operational Research,03772217,252,1,280-295,2016-07-01,1 July 2016,10.1016/j.ejor.2015.12.038,S0377221715011777,59,"[{'@_fa': 'true', 'affilname': 'Aberystwyth Business School', 'affiliation-city': 'Aberystwyth', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,22489,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}"
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84942292567'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84942292567?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84942292567&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942292567&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221715007158'}]",https://api.elsevier.com/content/abstract/scopus_id/84942292567,SCOPUS_ID:84942292567,2-s2.0-84942292567,Introducing and modeling inefficiency contributions,Asmild M.,European Journal of Operational Research,03772217,248,2,725-730,2016-01-01,16 January 2016,10.1016/j.ejor.2015.07.060,S0377221715007158,6,"[{'@_fa': 'true', 'affilname': 'Københavns Universitet', 'affiliation-city': 'Copenhagen', 'affiliation-country': 'Denmark'}]",Journal,ar,Article,22489,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}"
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84916620196'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84916620196?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84916620196&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84916620196&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221714007607'}]",https://api.elsevier.com/content/abstract/scopus_id/84916620196,SCOPUS_ID:84916620196,2-s2.0-84916620196,A dynamic stochastic frontier model to evaluate regional financial efficiency: Evidence from Chinese county-level panel data,Zhang Q.,European Journal of Operational Research,03772217,241,3,907-916,2015-03-16,16 March 2015,10.1016/j.ejor.2014.09.021,S0377221714007607,27,"[{'@_fa': 'true', 'affilname': 'School of Management Fudan University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",Journal,ar,Article,22489,0,False,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84857053056'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84857053056?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84857053056&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84857053056&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0377221712000021'}]",https://api.elsevier.com/content/abstract/scopus_id/84857053056,SCOPUS_ID:84857053056,2-s2.0-84857053056,Multi-directional efficiency analysis of efficiency patterns in Chinese banks 1997-2008,Asmild M.,European Journal of Operational Research,03772217,219,2,434-441,2012-06-01,1 June 2012,10.1016/j.ejor.2012.01.001,S0377221712000021,78,"[{'@_fa': 'true', 'affilname': 'Institut for Fødevare- og Ressourceøkonomi (IFRO)', 'affiliation-city': 'Frederiksberg', 'affiliation-country': 'Denmark'}]",Journal,ar,Article,22489,0,False,,
