,locality,2015_created,2016_created,2017_created,2018_created,2019_created,2020_created,2021_created,2022_created,2015_ceased,2016_ceased,2017_ceased,2018_ceased,2019_ceased,2020_ceased,2021_ceased,2022_ceased,2015_cessation_rate,2016_cessation_rate,2017_cessation_rate,2018_cessation_rate,2019_cessation_rate,2020_cessation_rate,2021_cessation_rate,2022_cessation_rate
0,Cardiff,19.0,4.0,16.0,16.0,19.0,9.0,6.0,13.0,0.0,1.0,8.0,4.0,16.0,11.0,22.0,9.0,0.0,0.25,0.5,0.25,0.8421052631578947,1.2222222222222223,3.6666666666666665,0.6923076923076923
4,Birmingham,9.0,4.0,11.0,19.0,13.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,11.0,10.0,6.0,0.0,0.0,0.2727272727272727,0.10526315789473684,0.38461538461538464,3.6666666666666665,0.0,6.0
5,London,73.0,76.0,146.0,133.0,104.0,133.0,143.0,124.0,0.0,4.0,19.0,63.0,100.0,80.0,141.0,136.0,0.0,0.05263157894736842,0.13013698630136986,0.47368421052631576,0.9615384615384616,0.6015037593984962,0.986013986013986,1.096774193548387
20,Manchester,5.0,7.0,11.0,16.0,5.0,2.0,4.0,2.0,0.0,0.0,1.0,5.0,7.0,4.0,9.0,4.0,0.0,0.0,0.09090909090909091,0.3125,1.4,2.0,2.25,2.0
25,Liverpool,14.0,12.0,15.0,15.0,11.0,2.0,2.0,2.0,0.0,1.0,2.0,6.0,10.0,17.0,18.0,5.0,0.0,0.08333333333333333,0.13333333333333333,0.4,0.9090909090909091,8.5,9.0,2.5
35,Leeds,8.0,1.0,20.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,4.0,11.0,7.0,0.0,0.0,0.15,0.25,0.875,0.0,0.0,0.0
45,Bradford,7.0,2.0,24.0,12.0,14.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,8.0,12.0,14.0,6.0,0.0,0.0,0.125,0.25,0.5714285714285714,6.0,7.0,0.0
118,Glasgow,11.0,6.0,18.0,11.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,10.0,19.0,6.0,0.0,0.0,0.0,0.6363636363636364,0.4,3.3333333333333335,0.0,0.0
122,Edinburgh,6.0,6.0,11.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,6.0,3.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,3.0,0.0
147,Leicester,5.0,2.0,7.0,7.0,13.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,9.0,5.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.38461538461538464,2.0,4.5,5.0
