,company_name,company_number,total_funding,officers_info,officer_names,Male Officers Number,Female Officers Number
0,LENDINVEST PLC,08146929,2200000000,"[{'name': 'FAES, Christian Edouard', 'identification': None, 'nationality': 'Australian'}, {'name': 'JUDD, Penelope Ruth', 'identification': None, 'nationality': 'British'}, {'name': 'LOCKHART, Roderick Alexander', 'identification': None, 'nationality': 'British'}, {'name': 'MURRAY, Dale Jane', 'identification': None, 'nationality': 'British,New Zealander'}, {'name': 'SPENCER, Nina Elizabeth', 'identification': None, 'nationality': 'British'}, {'name': 'THOMAS, Ian Edward', 'identification': None, 'nationality': 'English'}, {'name': 'WILCKE, Stephan', 'identification': None, 'nationality': 'German,British'}, {'name': 'FAES, Christian', 'identification': None, 'nationality': None}, {'name': 'PEARSON, Ruth Olivia Blackshaw', 'identification': None, 'nationality': None}, {'name': 'BARNES, Christopher James', 'identification': None, 'nationality': 'British'}, {'name': 'EVANS, Michael Simon', 'identification': None, 'nationality': 'British'}, {'name': 'JEFFREY, Paul Richard Carroll', 'identification': None, 'nationality': 'British'}, {'name': 'LJUNGMAN, Mattias Lennart Seve', 'identification': None, 'nationality': 'Swedish'}, {'name': 'PANTELI, Angelie', 'identification': None, 'nationality': 'British'}, {'name': 'ZHOU, Yahui', 'identification': None, 'nationality': 'Chinese'}]","['FAES, Christian Edouard', 'JUDD, Penelope Ruth', 'LOCKHART, Roderick Alexander', 'MURRAY, Dale Jane', 'SPENCER, Nina Elizabeth', 'THOMAS, Ian Edward', 'WILCKE, Stephan', 'FAES, Christian', 'PEARSON, Ruth Olivia Blackshaw', 'BARNES, Christopher James', 'EVANS, Michael Simon', 'JEFFREY, Paul Richard Carroll', 'LJUNGMAN, Mattias Lennart Seve', 'PANTELI, Angelie', 'ZHOU, Yahui']",10,4
1,PRODIGY FINANCE LTD,05912562,2100000000,"[{'name': 'BARNARD, Nicolaas Everhardus', 'identification': None, 'nationality': 'South African'}, {'name': 'DU HECQUET DE RAUVILLE, Nicole', 'identification': None, 'nationality': 'British,South African'}, {'name': 'HOPS, Alastair Justin', 'identification': None, 'nationality': 'British'}, {'name': 'SETHI, Neha', 'identification': None, 'nationality': 'British'}, {'name': 'STEVENS, Cameron', 'identification': None, 'nationality': 'British'}, {'name': 'STEELE, Ryan', 'identification': None, 'nationality': None}, {'name': 'CLAYTON, John Nicholas Fothergill', 'identification': None, 'nationality': 'British'}, {'name': 'DECOTE, Pierre Bernard', 'identification': None, 'nationality': 'French'}, {'name': 'KING, Matthew James Wyatt', 'identification': None, 'nationality': 'British'}, {'name': 'MORGAN, Alan William', 'identification': None, 'nationality': 'British'}, {'name': 'RAO, Rajesh Shankar', 'identification': None, 'nationality': 'American'}, {'name': 'STEELE, Ryan Steven', 'identification': None, 'nationality': 'British'}, {'name': 'ULLMANN, Michael Philipp', 'identification': None, 'nationality': 'British'}, {'name': 'ULLMANN, Michael Philipp', 'identification': None, 'nationality': 'British'}, {'name': 'WRAY, Edward James', 'identification': None, 'nationality': 'British'}]","['BARNARD, Nicolaas Everhardus', 'DU HECQUET DE RAUVILLE, Nicole', 'HOPS, Alastair Justin', 'SETHI, Neha', 'STEVENS, Cameron', 'STEELE, Ryan', 'CLAYTON, John Nicholas Fothergill', 'DECOTE, Pierre Bernard', 'KING, Matthew James Wyatt', 'MORGAN, Alan William', 'RAO, Rajesh Shankar', 'STEELE, Ryan Steven', 'ULLMANN, Michael Philipp', 'ULLMANN, Michael Philipp', 'WRAY, Edward James']",13,2
2,SUMUP PAYMENTS LIMITED,07836562,2000000000,"[{'name': 'BYRNE, Catriona', 'identification': None, 'nationality': None}, {'name': 'KLEIN, Daniel', 'identification': None, 'nationality': 'German'}, {'name': 'SHANAHAN, Ken Victor', 'identification': None, 'nationality': 'Irish'}, {'name': 'KLEIN, Daniel', 'identification': None, 'nationality': None}, {'name': 'STANFORD, Daniel John', 'identification': None, 'nationality': None}, {'name': 'WALSH, Gareth Patrick', 'identification': None, 'nationality': None}, {'name': 'DELPY, Steven David', 'identification': None, 'nationality': 'British'}, {'name': 'OAKES, James John', 'identification': None, 'nationality': 'British'}, {'name': 'RICHTER, Florian Alexander', 'identification': None, 'nationality': 'German'}, {'name': 'RIESENKAMPFF, Alexander', 'identification': None, 'nationality': 'German'}, {'name': 'TORKLER, Andre', 'identification': None, 'nationality': 'German'}, {'name': 'WALSH, Gareth Patrick', 'identification': None, 'nationality': 'Irish'}]","['BYRNE, Catriona', 'KLEIN, Daniel', 'SHANAHAN, Ken Victor', 'KLEIN, Daniel', 'STANFORD, Daniel John', 'WALSH, Gareth Patrick', 'DELPY, Steven David', 'OAKES, James John', 'RICHTER, Florian Alexander', 'RIESENKAMPFF, Alexander', 'TORKLER, Andre', 'WALSH, Gareth Patrick']",11,1
3,CHECKOUT LTD,08037323,1800000000,"[{'name': 'ASHER, Adrian Charles', 'identification': None, 'nationality': 'British'}, {'name': 'MATHIEU, Emilie', 'identification': None, 'nationality': 'French'}, {'name': 'SIMMONS, Edward Philip', 'identification': None, 'nationality': 'British'}, {'name': 'ALTWEGG, Mathieu Andre Guy', 'identification': None, 'nationality': 'Switzerland'}, {'name': 'BARDORF, Wolfgang', 'identification': None, 'nationality': 'German'}, {'name': 'BENCHIMOL, Mike', 'identification': None, 'nationality': 'French'}, {'name': 'HOVAGUIMIAN, Thomas', 'identification': None, 'nationality': 'Swiss'}, {'name': 'POUSAZ, Guillaume', 'identification': None, 'nationality': 'Swiss'}, {'name': 'WEIGAND, Michael', 'identification': None, 'nationality': 'American'}]","['ASHER, Adrian Charles', 'MATHIEU, Emilie', 'SIMMONS, Edward Philip', 'ALTWEGG, Mathieu Andre Guy', 'BARDORF, Wolfgang', 'BENCHIMOL, Mike', 'HOVAGUIMIAN, Thomas', 'POUSAZ, Guillaume', 'WEIGAND, Michael']",8,1
4,REVOLUT LTD,08804411,1700000000,"[{'name': 'HAMBRETT, Thomas Bruce', 'identification': None, 'nationality': None}, {'name': 'BRITTON, Caroline Louise', 'identification': None, 'nationality': 'British'}, {'name': 'GILBERT, Martin James', 'identification': None, 'nationality': 'British'}, {'name': 'SHERWOOD, Michael Sidney', 'identification': None, 'nationality': 'British'}, {'name': 'SIEVWRIGHT, John Phimister', 'identification': None, 'nationality': 'British'}, {'name': 'STORONSKY, Nikolay', 'identification': None, 'nationality': 'British'}, {'name': 'TEODOSIU, Dan', 'identification': None, 'nationality': 'Austrian'}, {'name': 'WILSON, Ian Douglas', 'identification': None, 'nationality': 'British'}, {'name': 'YATSENKO, Vladyslav', 'identification': None, 'nationality': 'British'}, {'name': 'MIGNOT, Martin Benoit Antoine', 'identification': None, 'nationality': 'French'}, {'name': 'WALLACE, Bruce Edward', 'identification': None, 'nationality': 'American'}, {'name': 'WATERHOUSE, Daniel David', 'identification': None, 'nationality': 'British'}]","['HAMBRETT, Thomas Bruce', 'BRITTON, Caroline Louise', 'GILBERT, Martin James', 'SHERWOOD, Michael Sidney', 'SIEVWRIGHT, John Phimister', 'STORONSKY, Nikolay', 'TEODOSIU, Dan', 'WILSON, Ian Douglas', 'YATSENKO, Vladyslav', 'MIGNOT, Martin Benoit Antoine', 'WALLACE, Bruce Edward', 'WATERHOUSE, Daniel David']",11,1
5,WISE PLC,13211214,1700000000,"[{'name': 'FAHEY, Jane', 'identification': None, 'nationality': None}, {'name': 'BRIERS, Matthew John', 'identification': None, 'nationality': 'British'}, {'name': 'CHAMBERS, Elizabeth Grace', 'identification': None, 'nationality': 'American'}, {'name': 'DUHON, Terri Lynn', 'identification': None, 'nationality': 'American'}, {'name': 'GILMARTIN, Clare Elizabeth', 'identification': None, 'nationality': 'Irish'}, {'name': 'KAARMANN, Kristo', 'identification': None, 'nationality': 'Estonian'}, {'name': 'RAMPELL, Alastair Michael', 'identification': None, 'nationality': 'American'}, {'name': 'TAN, Hooi Ling', 'identification': None, 'nationality': 'Malaysian'}, {'name': 'UYTDEHAAGE, Ingo Jeroen', 'identification': None, 'nationality': 'Dutch'}, {'name': 'WELLS, David Bolling', 'identification': None, 'nationality': 'American'}, {'name': 'NASH, Dean', 'identification': None, 'nationality': None}, {'name': 'HINRIKUS, Taavet', 'identification': None, 'nationality': 'Estonian'}, {'name': 'NASH, Dean', 'identification': None, 'nationality': 'British'}, {'name': 'NEWCOMBE, Paul Alan', 'identification': None, 'nationality': 'British'}]","['FAHEY, Jane', 'BRIERS, Matthew John', 'CHAMBERS, Elizabeth Grace', 'DUHON, Terri Lynn', 'GILMARTIN, Clare Elizabeth', 'KAARMANN, Kristo', 'RAMPELL, Alastair Michael', 'TAN, Hooi Ling', 'UYTDEHAAGE, Ingo Jeroen', 'WELLS, David Bolling', 'NASH, Dean', 'HINRIKUS, Taavet', 'NASH, Dean', 'NEWCOMBE, Paul Alan']",9,4
6,LENDABLE LTD,08828186,1600000000,"[{'name': 'BAUM, Jonathan Graydon', 'identification': None, 'nationality': 'British'}, {'name': 'KISSINGER, Karl Martin', 'identification': None, 'nationality': 'German,British'}, {'name': 'MOORE, Claire Louise', 'identification': None, 'nationality': 'British'}, {'name': 'ROSEL, Mark James', 'identification': None, 'nationality': 'British'}]","['BAUM, Jonathan Graydon', 'KISSINGER, Karl Martin', 'MOORE, Claire Louise', 'ROSEL, Mark James']",3,1
7,LANDBAY PARTNERS LIMITED,08668507,1600000000,"[{'name': 'LIFFORD, Michael', 'identification': None, 'nationality': None}, {'name': 'BAPTISTA, Michael Peter', 'identification': None, 'nationality': 'British'}, {'name': 'CORK, Julian Hartley', 'identification': None, 'nationality': 'British'}, {'name': 'GOODALL, John Robert', 'identification': None, 'nationality': 'British'}, {'name': 'JENKINS, John Michael', 'identification': None, 'nationality': 'British'}, {'name': 'LIFFORD, Michael', 'identification': None, 'nationality': 'British'}, {'name': 'STERN, Graeme Michael', 'identification': None, 'nationality': 'Australian'}, {'name': 'WARD, Anthony John', 'identification': None, 'nationality': 'British'}, {'name': 'BHOPAL, Runjit', 'identification': None, 'nationality': None}, {'name': 'BURGESS, Robert Michael', 'identification': None, 'nationality': 'British'}, {'name': 'GEBERBAUER, Hans', 'identification': None, 'nationality': 'German'}, {'name': 'SUTTON, Julian Richard', 'identification': None, 'nationality': 'British'}]","['LIFFORD, Michael', 'BAPTISTA, Michael Peter', 'CORK, Julian Hartley', 'GOODALL, John Robert', 'JENKINS, John Michael', 'LIFFORD, Michael', 'STERN, Graeme Michael', 'WARD, Anthony John', 'BHOPAL, Runjit', 'BURGESS, Robert Michael', 'GEBERBAUER, Hans', 'SUTTON, Julian Richard']",11,0
8,FNZ (UK) LTD,05435760,1400000000,"[{'name': 'AUJARD, Christopher Charles', 'identification': None, 'nationality': None}, {'name': 'BROWN, Catherine Ann', 'identification': None, 'nationality': 'British'}, {'name': 'CONWAY, Alastair', 'identification': None, 'nationality': 'British'}, {'name': 'DOBBIN, William Wallace', 'identification': None, 'nationality': 'British'}, {'name': 'HARRIS, Susan Elizabeth', 'identification': None, 'nationality': 'British'}, {'name': 'RING, Andrew John', 'identification': None, 'nationality': 'British'}, {'name': 'STEWART, Gregor', 'identification': None, 'nationality': 'British'}, {'name': 'TOMLINS, John', 'identification': None, 'nationality': 'British'}, {'name': 'WOHANKA, Richard Leslie Martin', 'identification': None, 'nationality': 'British'}, {'name': 'ALNERY INCORPORATIONS NO 1 LIMITED', 'identification': None, 'nationality': None}, {'name': 'BLENNERHASSETT, Michael Craig', 'identification': None, 'nationality': 'New Zealand'}, {'name': 'VISTRA COMPANY SECRETARIES LIMITED', 'identification': None, 'nationality': None}, {'name': 'ALNERY INCORPORATIONS NO 1 LIMITED', 'identification': None, 'nationality': None}, {'name': 'ALNERY INCORPORATIONS NO 2 LIMITED', 'identification': None, 'nationality': None}, {'name': 'BLENNERHASSETT, Michael Craig', 'identification': None, 'nationality': 'New Zealand'}, {'name': 'BODMAN, Richard William', 'identification': None, 'nationality': 'New Zealand'}, {'name': 'CHORNA, Laurent', 'identification': None, 'nationality': 'French'}, {'name': 'DOUGAL, Christian Somerville', 'identification': None, 'nationality': 'British'}, {'name': 'DURHAM, Adrian John', 'identification': None, 'nationality': 'British'}, {'name': 'DURHAM, Adrian John', 'identification': None, 'nationality': 'British'}, {'name': 'FERMAN, Matthew Jonathan', 'identification': None, 'nationality': 'British'}, {'name': 'GEE, Warren George', 'identification': None, 'nationality': 'British'}, {'name': 'HARDIE, Graeme', 'identification': None, 'nationality': 'British'}, {'name': 'JENNINGS, Martin', 'identification': None, 'nationality': 'British'}, {'name': 'LAVERTY, Andrew John Ninian', 'identification': None, 'nationality': 'British'}, {'name': 'LOVE, Kristopher Darren', 'identification': None, 'nationality': 'British'}, {'name': 'MACLEAN, Stewart Neil Miller', 'identification': None, 'nationality': 'British'}, {'name': 'MCMAHON, Paul', 'identification': None, 'nationality': 'English'}, {'name': 'PAGE, David Keith', 'identification': None, 'nationality': 'British'}, {'name': 'PARRY, Leahn Clifford', 'identification': None, 'nationality': 'British'}, {'name': 'SACCO, Vivienne Amanda', 'identification': None, 'nationality': 'British'}, {'name': 'SINCLAIR, Ian Robert', 'identification': None, 'nationality': 'British'}, {'name': 'ST JOHN, Scott Andrew', 'identification': None, 'nationality': 'New Zealand'}, {'name': 'WARREN, Guy', 'identification': None, 'nationality': 'British'}]","['AUJARD, Christopher Charles', 'BROWN, Catherine Ann', 'CONWAY, Alastair', 'DOBBIN, William Wallace', 'HARRIS, Susan Elizabeth', 'RING, Andrew John', 'STEWART, Gregor', 'TOMLINS, John', 'WOHANKA, Richard Leslie Martin', 'ALNERY INCORPORATIONS NO 1 LIMITED', 'BLENNERHASSETT, Michael Craig', 'VISTRA COMPANY SECRETARIES LIMITED', 'ALNERY INCORPORATIONS NO 1 LIMITED', 'ALNERY INCORPORATIONS NO 2 LIMITED', 'BLENNERHASSETT, Michael Craig', 'BODMAN, Richard William', 'CHORNA, Laurent', 'DOUGAL, Christian Somerville', 'DURHAM, Adrian John', 'DURHAM, Adrian John', 'FERMAN, Matthew Jonathan', 'GEE, Warren George', 'HARDIE, Graeme', 'JENNINGS, Martin', 'LAVERTY, Andrew John Ninian', 'LOVE, Kristopher Darren', 'MACLEAN, Stewart Neil Miller', 'MCMAHON, Paul', 'PAGE, David Keith', 'PARRY, Leahn Clifford', 'SACCO, Vivienne Amanda', 'SINCLAIR, Ian Robert', 'ST JOHN, Scott Andrew', 'WARREN, Guy']",26,3
9,CURVE UK LIMITED,09523903,1200000000,"[{'name': 'BIALICK, Shahar', 'identification': None, 'nationality': 'Polish,Israeli'}, {'name': 'HARRALD, Paul', 'identification': None, 'nationality': 'British'}, {'name': 'HOUGHTON, Alistair', 'identification': None, 'nationality': None}, {'name': 'AITKENHEAD, Roberto', 'identification': None, 'nationality': 'American'}, {'name': 'BRADLEY, Daniel Thomas', 'identification': None, 'nationality': 'British'}, {'name': 'COURTNEIDGE, Robert Edmund', 'identification': None, 'nationality': 'British'}, {'name': 'DEMPSEY BURNS, Michael Francis', 'identification': None, 'nationality': 'American'}, {'name': 'DO, Cuong', 'identification': None, 'nationality': 'American'}, {'name': 'EARNER, William Andrew', 'identification': None, 'nationality': 'British'}, {'name': 'KAMELLARD, Adrian Daryl Robert', 'identification': None, 'nationality': 'British'}, {'name': 'KLESTIL, Stefan Josef', 'identification': None, 'nationality': 'Austrian'}, {'name': 'MARREL, Benoit', 'identification': None, 'nationality': 'French'}, {'name': 'OESTMANN, Nathalie', 'identification': None, 'nationality': 'American,French'}, {'name': 'PATWARDHAN, Anju', 'identification': None, 'nationality': 'Singaporean'}, {'name': 'SMALLE, Nicholas Luc', 'identification': None, 'nationality': 'Belgian'}, {'name': 'WELLER, Scott', 'identification': None, 'nationality': 'American'}]","['BIALICK, Shahar', 'HARRALD, Paul', 'HOUGHTON, Alistair', 'AITKENHEAD, Roberto', 'BRADLEY, Daniel Thomas', 'COURTNEIDGE, Robert Edmund', 'DEMPSEY BURNS, Michael Francis', 'DO, Cuong', 'EARNER, William Andrew', 'KAMELLARD, Adrian Daryl Robert', 'KLESTIL, Stefan Josef', 'MARREL, Benoit', 'OESTMANN, Nathalie', 'PATWARDHAN, Anju', 'SMALLE, Nicholas Luc', 'WELLER, Scott']",13,2
