crop,state,Kharif,Rabi,Summer
rice,.andaman_and_nicobar_islands,11147.5,,
rice,.andhra_pradesh,,2269417.5,
rice,.arunachal_pradesh,58800,,
rice,.assam,,2013042.5,2013042.5
rice,.bihar,,,1610595
rice,.chandigarh,980,,
rice,.dadra_and_nagar_haveli,11637.5,4987.5,
rice,.goa,78767.5,78767.5,
rice,.gujarat,2674665,,6240885
rice,.haryana,1358280,,
rice,.jammu_and_kashmir,245647.5,,
rice,.jharkhand,773342.5,,
rice,.kerala,551040,1285760,1285760
rice,.maharashtra,,,1.11E+07
rice,.meghalaya,,,167212.5
rice,.mizoram,,57820,
rice,.odisha,,,1069635
rice,.puducherry,5512.5,12862.5,12862.5
rice,.punjab,1652700,,
rice,.rajasthan,1.21E+07,,
rice,.sikkim,69090,,
rice,.tamil_nadu,1203405,,
rice,.telangana,,1218315,
rice,.uttar_pradesh,5449657.5,,1.27E+07
rice,.uttarakhand,233730,,545370
wheat,.arunachal_pradesh,,137200,
wheat,.assam,,862732.5,
wheat,.chandigarh,,980,
wheat,.dadra_and_nagar_haveli,,11637.5,
wheat,.gujarat,,6240885,
wheat,.haryana,,3169320,
wheat,.himachal_pradesh,,195510,
wheat,.jammu_and_kashmir,,245647.5,
wheat,.jharkhand,,331432.5,
wheat,.madhya_pradesh,,1.15E+07,
wheat,.nagaland,,103005,
wheat,.punjab,,3856300,
wheat,.rajasthan,,1.21E+07,
wheat,.sikkim,,69090,
wheat,.tripura,,233117.5,
wheat,.uttarakhand,,233730,
cotton,.andhra_pradesh,5295307.5,,
cotton,.assam,862732.5,,
cotton,.chhattisgarh,2790672.5,,
cotton,.gujarat,6240885,,
cotton,.haryana,3169320,,
cotton,.karnataka,2536852.5,2536852.5,
cotton,.kerala,1285760,,
cotton,.madhya_pradesh,1.15E+07,,
cotton,.maharashtra,1.11E+07,,
cotton,.manipur,,175665,
cotton,.meghalaya,71662.5,,
cotton,.mizoram,57820,,
cotton,.nagaland,103005,,
cotton,.odisha,1069635,,
cotton,.puducherry,12862.5,,5512.5
cotton,.punjab,3856300,,
cotton,.rajasthan,5187735,,
cotton,.tamil_nadu,2807945,,
cotton,.telangana,2842735,,
cotton,.tripura,99907.5,,
cotton,.uttar_pradesh,1.27E+07,,
cotton,.west_bengal,2001300,,
maize,.andaman_and_nicobar_islands,,11147.5,
maize,.andhra_pradesh,2269417.5,5295307.5,
maize,.bihar,1610595,3758055,3758055
maize,.chandigarh,420,,
maize,.dadra_and_nagar_haveli,4987.5,,
maize,.gujarat,,2674665,2674665
maize,.jharkhand,331432.5,,
maize,.karnataka,,,2536852.5
maize,.maharashtra,,4768312.5,4768312.5
maize,.manipur,175665,,
maize,.mizoram,,24780,
maize,.odisha,,1069635,2495815
maize,.telangana,1218315,2842735,
maize,.uttar_pradesh,,5449657.5,5449657.5
maize,.uttarakhand,,,233730
maize,.west_bengal,,2001300,2001300
horsegram,.chhattisgarh,1196002.5,2790672.5,
horsegram,.madhya_pradesh,,4908907.5,
jute,.assam,2013042.5,,
jute,.bihar,3758055,,
jute,.madhya_pradesh,4908907.5,,
jute,.manipur,75285,,175665
jute,.meghalaya,167212.5,167212.5,
jute,.nagaland,240345,,
jute,.odisha,2495815,,
jute,.tripura,233117.5,,
jute,.west_bengal,4669700,,
potato,.bihar,,1610595,
potato,.chhattisgarh,,1196002.5,
potato,.himachal_pradesh,195510,456190,
potato,.jammu_and_kashmir,573177.5,573177.5,
potato,.jharkhand,,773342.5,
potato,.karnataka,5919322.5,5919322.5,5919322.5
potato,.manipur,,75285,75285
potato,.meghalaya,,71662.5,
potato,.mizoram,24780,,
potato,.nagaland,,240345,
potato,.odisha,,2495815,
potato,.uttar_pradesh,,1.27E+07,
potato,.uttarakhand,545370,545370,
potato,.west_bengal,,4669700,4669700
soyabean,.arunachal_pradesh,137200,,
soyabean,.himachal_pradesh,456190,,
soyabean,.maharashtra,4768312.5,1.11E+07,
soyabean,.sikkim,29610,,
