state, Kharif, Rabi, Summer
Andaman & Nicobar,22750,22750,22750
Andhra Pradesh,10806750,10806750,10806750
Arunachal Pradesh,280000,280000,280000
Assam,4108250,4108250,4108250
Bihar,7669500,7669500,7669500
Chandigarh,2000,2000,2000
Chhattisgarh,5695250,5695250,5695250
Dadra and Nagar Haveli and Daman and Diu,23750,23750,23750
Goa,160750,160750,160750
Gujarat,12736500,12736500,12736500
Haryana,6468000,6468000,6468000
Himachal Pradesh,931000,931000,931000
Jammu & Kashmir,1169750,1169750,1169750
Jharkhand,1578250,1578250,1578250
Karnataka,12080250,12080250,12080250
Kerala,2624000,2624000,2624000
Madhya Pradesh,23375750,23375750,23375750
Maharashtra,22706250,22706250,22706250
Manipur,358500,358500,358500
Meghalaya,341250,341250,341250
Mizoram,118000,118000,118000
Nagaland,490500,490500,490500
Odisha,5093500,5093500,5093500
Puducherry,26250,26250,26250
Punjab,7870000,7870000,7870000
Rajasthan,24703500,24703500,24703500
Sikkim,141000,141000,141000
Tamil Nadu,5730500,5730500,5730500
Telangana,5801500,5801500,5801500
Tripura,475750,475750,475750
Uttar Pradesh,25950750,25950750,25950750
Uttarakhand,1113000,1113000,1113000
West Bengal,9530000,9530000,9530000
