state,Kharif
uttar_pradesh,25950750
rajasthan,24703500
madhya_pradesh,23375750
maharashtra,22706250
gujarat,12736500
karnataka,12080250
andhra_pradesh,10806750
west_bengal,9530000
punjab,7870000
bihar,7669500
haryana,6468000
telangana,5801500
tamil_nadu,5730500
chhattisgarh,5695250
odisha,5093500
assam,4108250
kerala,2624000
jharkhand,1578250
jammu_and_kashmir,1169750
uttarakhand,1113000
himachal_pradesh,931000
nagaland,490500
tripura,475750
manipur,358500
meghalaya,341250
arunachal_pradesh,280000
goa,160750
sikkim,141000
mizoram,118000
puducherry,26250
dadra_and_nagar_haveli,23750
andaman_and_nicobar_islands,22750
chandigarh,2000
